Handle,geometry,divide and conquer,interactive,bitmasks,string suffix structures,dp,hashing,brute force,binary search,number theory,graphs,dfs and similar,combinatorics,expression parsing,fft,schedules,trees,implementation,2-sat,chinese remainder theorem,matrices,strings,meet-in-the-middle,shortest paths,ternary search,*special,sortings,probabilities,data structures,graph matchings,games,flows,greedy,constructive algorithms,dsu,math,two pointers
shjohw12,27300,18600,21400,76200,7000,303900,23500,266800,170500,136400,143600,118400,85600,0,6900,1700,87200,320400,3400,2200,5400,98800,2100,34700,11900,0,223100,11300,226600,13300,24800,12000,533200,317800,44100,460000,114100
xyq0220,56800,64500,41000,136300,42600,456200,43100,397800,278800,163400,206000,194000,103800,1600,1900,0,150200,666300,1900,1000,7700,176500,19100,51200,30000,0,342400,6400,418900,3400,23300,9300,899100,418600,67500,626700,178700
_morsmordre_,1200,1200,4000,4900,1600,24100,1600,18900,11000,11900,4900,4400,7600,0,0,0,4000,19800,0,0,3300,6900,0,0,0,0,17400,0,13400,0,3600,0,29300,16000,2000,32100,6400
rookie_feng,0,2800,0,4500,0,31100,1500,20900,22700,15500,10500,5700,9100,0,0,0,5200,26600,0,0,0,7000,0,4000,6300,0,22400,0,19200,0,2800,0,39400,32800,0,64900,4800
yfhuang,84300,60700,54200,144500,18800,595500,74800,291900,230400,181500,281300,233500,205000,3000,26900,0,194000,463800,8200,4200,34000,190600,10500,67600,13800,26400,275200,82300,415600,22500,47800,30900,579900,401200,100600,646300,116100
ajj,33300,34500,9500,48900,0,167900,10900,108800,86900,77000,69700,88600,51400,0,5100,0,58700,164400,11900,2000,0,33600,0,17500,1400,0,103200,5500,174400,14800,25100,12500,291000,176100,46200,228700,64000
Munchy_1,30800,10800,20100,68600,3300,170800,11600,259700,119400,113300,76800,46100,57400,0,2000,0,23700,412700,5400,3000,1600,115000,3100,21100,5300,8700,192400,6300,114200,2700,34600,7800,556800,326100,11400,522800,71100
slal,16600,4400,15600,24600,0,135100,13000,158700,103500,72700,62700,62500,48500,0,2000,2000,24400,275800,5400,2000,3100,60500,1500,18400,4800,2500,105700,6600,79900,2000,7300,3900,296000,124400,17700,273400,49200
ExplodingFreeze,37000,38700,35700,92300,13300,412700,19800,338200,215300,176200,221300,196400,143800,3100,6500,2000,137300,538700,3500,3000,41500,159400,6300,65900,16200,14900,287600,18200,304400,12300,38900,13200,766700,429400,77700,625500,175300
ashish_kumarsoni,35300,11700,17600,63900,3800,223000,18000,288000,137700,131200,66100,47400,74500,2400,0,0,36200,434900,3400,0,6500,102500,0,11500,10600,1300,177500,9900,178000,4600,24900,7600,511000,272000,20000,458700,93700
IDontNeedFriends,10500,11500,20300,44300,2500,141700,13100,110600,70100,55300,58700,45900,47600,0,4200,0,27400,125800,5900,2000,3300,45000,2100,14400,1300,0,81900,6300,91200,6900,2900,6200,223700,141300,20200,203800,55900
fsjdogbsg,5900,21500,18800,62100,3800,253900,19900,170800,155700,104900,162500,146700,56400,3400,0,3200,113300,343700,1500,0,2000,87400,11500,34500,15500,3900,191700,1500,194700,2900,13000,3700,433300,243700,53300,355600,97800
cychien,15900,5000,24700,48900,3300,132100,16800,141900,83000,87000,51000,53700,46500,0,2000,0,39500,196900,3900,4200,5900,64300,1400,21100,9700,14400,94800,4600,71900,10000,18500,9400,281300,201900,16700,294800,56100
adarsh1130,30200,21300,50500,100400,7100,370700,30500,254400,177300,158300,156300,132500,99800,0,2000,0,98300,352200,3900,2000,20200,102000,1400,45900,9000,2300,205900,11500,242400,5700,31200,9400,607100,359100,39200,526500,109200
4.5Tatami,21700,5700,25900,66700,0,186200,8700,178100,98300,113100,107500,56400,45900,0,0,1700,42000,194300,3400,0,3300,49700,1400,20000,7200,0,122800,15600,151600,3900,12100,3400,305400,173200,37700,277500,56400
harshkirat,51900,23400,27100,76600,3300,303800,24300,319300,185000,147200,136800,133300,79400,4800,2000,4600,64900,582100,9400,10800,5400,151100,6500,33600,10500,4300,238900,10200,207300,8700,49800,14600,683100,359800,50500,648100,147600
dush1729,98800,86200,64700,201700,39900,856800,124900,807100,511100,362600,455900,408600,242800,5300,3900,12000,302300,1405400,10800,2000,10800,409100,25500,147700,20500,70700,569200,38000,707500,14100,69200,19100,1262900,645500,134700,1151300,256800
plourde27,40200,21200,45900,92100,3300,249000,22800,291200,152600,159700,120900,100700,81500,0,6700,0,69900,412000,5400,5200,5400,113100,2900,35000,8400,28200,196100,19500,160200,8800,26700,7800,573600,348000,34600,593600,112500
GretaM,26500,15300,26600,75800,4800,230100,23300,208400,169000,102900,119800,89100,74500,0,9000,0,54100,285300,5400,5200,6800,75000,2400,42500,13000,0,179700,12900,171000,7200,20800,8000,504000,304200,32500,421500,108000
malIick630,0,3100,0,1300,0,13400,0,8700,14100,6000,4600,3300,3000,0,0,0,0,4300,1900,0,0,800,0,3600,0,0,9300,0,11200,0,1200,0,11300,5900,0,18800,9300
yamake,19500,15900,6300,52100,2400,235300,15300,233600,131700,92600,103300,85600,58000,0,0,0,68600,270900,5700,0,11800,75000,5100,34500,11600,0,154100,10000,162400,7600,11100,6200,402200,185300,21700,359500,91600
